x
0 1
1 35 83
2 51 91
3 52 105
4 44 97
5 39 85
6 35 109
7 67 129
8 69 114
9 53 96
10 45 95
11 46 109
12 38 126
13 77 145
14 62 122
15 52 111
16 46 105
17 44 134
18 41 128
19 61 136
20 70 108
21 77 110
22 75 104
23 72 143
24 48 140
25 44 126
26 61 124
27 69 115
28 53 105
29 67 121
30 52 134
31 25 96
32 43 94
33 42 106
34 55 96
35 67 109
36 54 128
37 35 81
38 45 94
39 46 101
40 44 103
41 38 102
42 30 85
43 63 108
44 70 108
45 51 104
46 38 98
47 48 98
48 31 78
49 44 102
50 64 111
51 52 119
52 51 99
53 42 100
54 26 70
55 32 94
56 63 101
57 67 116
58 65 103
59 55 94
60 29 71
61 39 95
62 68 95
63 66 111
64 60 97
65 55 105
66 38 77
67 29 120
68 43 131
69 51 132
70 51 136
71 68 129
72 49 116
73 40 95
74 37 114
75 48 108
76 47 110
77 34 107
78 24 118
79 61 106
80 72 120
81 52 114
82 36 98
83 40 101
84 34 102
85 36 89
86 63 105
87 59 118
88 50 100
89 37 88
90 25 93
91 26 83
92 59 99
93 68 117
94 72 104
95 54 92
96 37 73
97 34 76
98 58 97
99 75 112
100 75 102
101 57 100
102 45 101
103 27 117
104 45 112
105 69 123
106 54 122
107 74 130
108 59 126
109 41 97
110 40 82
111 54 106
112 52 98
113 38 90
114 24 95
115 77 116
116 70 120
117 58 95
118 41 87
119 38 101
120 34 103
121 53 113
122 68 126
123 68 121
124 49 104
125 34 96
126 27 132
127 45 103
128 67 120
129 76 111
130 73 107
131 69 122
132 46 133
133 49 110
134 61 119
135 76 111
136 65 115
137 67 109
138 59 117
139 40 108
140 42 94
141 62 102
142 61 95
143 65 104
144 66 108
145 40 130
146 36 81
147 56 97
148 56 99
149 40 94
150 36 99
151 54 143
152 64 112
153 53 97
154 50 90
155 46 98
156 36 118
157 50 146
158 63 122
159 56 115
160 46 110
161 38 112
162 30 117
163 56 154
164 74 130
165 79 118
166 84 115
167 71 121
168 40 135
169 48 146
170 60 113
171 65 113
172 71 108
173 61 112
174 67 122
175 18 121
176 30 86
177 53 110
178 63 112
179 66 108
180 70 115
181 32 104
182 45 97
183 58 112
184 52 122
185 40 117
186 33 93
187 48 96
188 54 105
189 55 99
190 44 95
191 39 102
192 34 97
193 44 97
194 53 105
195 45 109
196 38 95
197 47 93
198 27 72
199 36 87
200 67 110
201 66 118
202 77 110
203 54 90
204 34 79
205 30 84
206 45 89
207 69 114
208 73 98
209 56 101
210 41 90
211 32 86
212 48 111
213 57 133
214 49 122
215 63 130
216 53 122
217 38 110
218 56 125
219 60 135
220 52 135
221 35 126
222 20 117
223 49 97
224 57 101
225 54 101
226 41 91
227 29 95
228 19 82
229 47 106
230 53 114
231 48 109
232 41 96
233 36 83
234 32 78
235 34 92
236 58 107
237 66 119
238 68 97
239 52 86
240 36 76
241 35 76
242 47 97
243 64 115
244 69 94
245 59 106
246 40 86
247 35 112
248 51 122
249 49 132
250 54 129
251 70 144
252 52 115
253 30 85
254 46 86
255 51 97
256 51 100
257 36 87
258 32 92
259 68 112
260 59 105
261 55 101
262 45 88
263 27 94
264 27 95
265 54 128
266 58 114
267 48 113
268 45 98
269 42 98
270 32 113
271 55 117
272 77 114
273 81 118
274 72 106
275 65 132
276 59 120
277 47 111
278 47 113
279 63 109
280 66 99
281 79 117
282 47 105
283 27 97
284 39 92
285 37 106
286 56 101
287 68 109
288 58 103
